STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,estruct,Earnings structure,ecase,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,AT,Austria,2025,,23117.84,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,BE,Belgium,2025,,25346.00,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,BG,Bulgaria,2025,,6508.32,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,CY,Cyprus,2025,,12265.01,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,CZ,Czechia,2025,,12277.93,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,DE,Germany,2025,,18861.79,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,DK,Denmark,2025,,23645.50,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,EE,Estonia,2025,,11748.91,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,EL,Greece,2025,,8650.50,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,ES,Spain,2025,,14896.72,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2025,,16722.37,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,FI,Finland,2025,,20093.11,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,FR,France,2025,,19721.26,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,HR,Croatia,2025,,9609.07,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,HU,Hungary,2025,,6483.61,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,IE,Ireland,2025,,30433.84,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,IT,Italy,2025,,14913.23,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,LT,Lithuania,2025,,10771.32,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,LU,Luxembourg,2025,,36112.84,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,LV,Latvia,2025,,9176.64,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,MT,Malta,2025,,16327.29,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,NL,Netherlands,2025,,28369.52,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,PL,Poland,2025,,9370.90,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,PT,Portugal,2025,,13608.18,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,RO,Romania,2025,,6741.43,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,SE,Sweden,2025,,19533.49,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,SI,Slovenia,2025,,12127.39,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW50,Single person without children earning 50% of the average earning,SK,Slovakia,2025,,8389.57,,,,,
