STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,estruct,Earnings structure,ecase,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,AT,Austria,2025,,36797.90,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,BE,Belgium,2025,,34642.30,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,BG,Bulgaria,2025,,13016.65,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,CY,Cyprus,2025,,23524.01,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,CZ,Czechia,2025,,19568.67,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,DE,Germany,2025,,31000.48,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,DK,Denmark,2025,,41981.24,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,EE,Estonia,2025,,20044.71,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,EL,Greece,2025,,15049.76,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,ES,Spain,2025,,25262.74,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,EU27_2020,European Union - 27 countries (from 2020),2025,,26928.97,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,FI,Finland,2025,,33641.04,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,FR,France,2025,,30831.60,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,HR,Croatia,2025,,17256.07,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,HU,Hungary,2025,,12967.22,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,IE,Ireland,2025,,44263.30,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,IT,Italy,2025,,24471.27,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LT,Lithuania,2025,,18650.38,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LU,Luxembourg,2025,,54259.93,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,LV,Latvia,2025,,16792.67,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,MT,Malta,2025,,25543.95,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,NL,Netherlands,2025,,35836.93,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,PL,Poland,2025,,16163.12,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,PT,Portugal,2025,,19708.63,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,RO,Romania,2025,,13232.74,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,SE,Sweden,2025,,34624.37,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,SI,Slovenia,2025,,22503.18,,,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,P1_NCH_AW100,Single person without children earning 100% of the average earning,SK,Slovakia,2025,,15685.92,,,,,
