STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ppp,Purchasing power parities indicator,ppp_cat18,Analytical categories for purchasing power parities (PPPs) calculation (based on COICOP18),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,AT,Austria,2025,,113.0,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,BE,Belgium,2025,,116.2,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,BG,Bulgaria,2025,,62.5,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,CH,Switzerland,2025,,171.3,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,CY,Cyprus,2025,,89.2,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,CZ,Czechia,2025,,89.4,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,DE,Germany,2025,,108.3,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,DK,Denmark,2025,,139.7,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,EA21,Euro area – 21 countries (from 2026),2025,,103.4,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,EE,Estonia,2025,,101.2,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,EL,Greece,2025,,87.4,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,ES,Spain,2025,,91.6,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,EU27_2020,European Union - 27 countries (from 2020),2025,,100.0,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,FI,Finland,2025,,120.8,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,FR,France,2025,,110.3,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,HR,Croatia,2025,,78.4,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,HU,Hungary,2025,,77.5,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,IE,Ireland,2025,,136.2,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,IS,Iceland,2025,,173.5,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,IT,Italy,2025,,97.1,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,LT,Lithuania,2025,,82.8,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,LU,Luxembourg,2025,,131.5,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,LV,Latvia,2025,,83.2,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,MT,Malta,2025,,91.9,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,NL,Netherlands,2025,,115.6,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,NO,Norway,2025,,128.6,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,PL,Poland,2025,,73.3,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,PT,Portugal,2025,,86.6,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,RO,Romania,2025,,65.1,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,SE,Sweden,2025,,121.0,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,SI,Slovenia,2025,,89.3,,,,,
dataflow,ESTAT:PRC_PPP_IND_1(1.0),"Purchasing power parities, price level indices, nominal and real expenditures by analytical categories - based on COICOP 2018",A,Annual,PLI_EU27_2020,Price level indices (EU27_2020=100),E011,Household final consumption expenditure,SK,Slovakia,2025,,85.2,,,,,
